Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.9,0.0,nan,1.0,0.0,0.5,0.0
1,0.76,0.0,nan,1.0,0.0,0.5,0.0
2,0.78,0.0,nan,1.0,0.0,0.5,0.0
3,0.76,0.15384615384615385,0.6666666666666666,0.972972972972973,0.25,0.5634095634095635,0.38689552813149664
4,0.8,0.09090909090909091,1.0,1.0,0.16666666666666669,0.5454545454545454,0.30151134457776363
5,0.8,0.1,0.5,0.975,0.16666666666666669,0.5375,0.3122498999199199
6,0.8,0.1111111111111111,0.3333333333333333,0.9512195121951219,0.16666666666666666,0.5311653116531165,0.325101610132231
7,0.86,0.14285714285714285,0.5,0.9767441860465116,0.22222222222222224,0.5598006644518272,0.3735436838188142
8,0.76,0.0,0.0,0.95,0.0,0.475,0.0
9,0.82,0.42857142857142855,0.375,0.8837209302325582,0.39999999999999997,0.6561461794019934,0.615416559354913
10,0.66,0.125,0.09090909090909091,0.7619047619047619,0.10526315789473685,0.44345238095238093,0.3086066999241838
11,0.72,0.4,0.5454545454545454,0.8571428571428571,0.4615384615384615,0.6285714285714286,0.5855400437691199
12,0.72,0.25,0.2,0.8095238095238095,0.22222222222222224,0.5297619047619048,0.4498677054212187
13,0.88,0.3333333333333333,0.5,0.9545454545454546,0.4,0.6439393939393939,0.5640760748177662
14,0.76,0.2857142857142857,0.2222222222222222,0.8372093023255814,0.25,0.5614617940199336,0.4890834875635335
15,0.8,0.2222222222222222,0.4,0.926829268292683,0.2857142857142857,0.5745257452574526,0.4538304304700118
16,0.86,0.6,0.375,0.8888888888888888,0.4615384615384615,0.7444444444444445,0.7302967433402214
17,0.82,0.3333333333333333,0.2857142857142857,0.8863636363636364,0.30769230769230765,0.6098484848484849,0.543557306504609
18,0.78,0.3,0.42857142857142855,0.9,0.3529411764705882,0.6,0.5196152422706632
19,0.74,0.25,0.2222222222222222,0.8333333333333334,0.23529411764705882,0.5416666666666667,0.45643546458763845
20,0.84,0.2857142857142857,0.4,0.9302325581395349,0.3333333333333333,0.6079734219269103,0.5155392622264671
