Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.74,0.5,0.38461538461538464,0.8,0.4347826086956522,0.65,0.6324555320336759
1,0.46,0.6,0.20689655172413793,0.425,0.3076923076923077,0.5125,0.5049752469181039
2,0.66,0.4,0.42857142857142855,0.7714285714285715,0.4137931034482759,0.5857142857142857,0.5554920598635309
3,0.7,0.0,nan,1.0,0.0,0.5,0.0
4,0.72,0.2727272727272727,0.3333333333333333,0.8461538461538461,0.3,0.5594405594405594,0.48038446141526137
5,0.86,0.0,nan,1.0,0.0,0.5,0.0
6,0.42,0.6,0.1935483870967742,0.375,0.2926829268292683,0.4875,0.4743416490252569
7,0.74,0.1111111111111111,0.16666666666666666,0.8780487804878049,0.13333333333333333,0.49457994579945797,0.3123475237772121
8,0.74,0.0,nan,1.0,0.0,0.5,0.0
9,0.8,0.0,nan,1.0,0.0,0.5,0.0
10,0.36,0.2222222222222222,0.07407407407407407,0.3902439024390244,0.1111111111111111,0.3062330623306233,0.2944840695329241
11,0.66,0.0,0.0,0.8048780487804879,0.0,0.4024390243902439,0.0
12,0.52,0.5714285714285714,0.3076923076923077,0.5,0.4,0.5357142857142857,0.5345224838248488
13,0.8,0.0,nan,1.0,0.0,0.5,0.0
14,0.78,0.16666666666666666,0.14285714285714285,0.8636363636363636,0.15384615384615383,0.5151515151515151,0.37939345531966406
15,0.76,0.15384615384615385,0.6666666666666666,0.972972972972973,0.25,0.5634095634095635,0.38689552813149664
16,0.76,0.0,nan,1.0,0.0,0.5,0.0
17,0.88,0.0,nan,1.0,0.0,0.5,0.0
18,0.7,0.0,0.0,0.9459459459459459,0.0,0.47297297297297297,0.0
19,0.76,0.0,nan,1.0,0.0,0.5,0.0
20,0.76,0.0,nan,1.0,0.0,0.5,0.0
21,0.76,0.0,nan,1.0,0.0,0.5,0.0
22,0.74,0.0,nan,1.0,0.0,0.5,0.0
23,0.92,0.0,nan,1.0,0.0,0.5,0.0
24,0.8,0.0,0.0,0.9523809523809523,0.0,0.47619047619047616,0.0
25,0.68,0.18181818181818182,0.2222222222222222,0.8205128205128205,0.19999999999999998,0.5011655011655012,0.38624363966821407
26,0.82,0.0,nan,1.0,0.0,0.5,0.0
27,0.74,0.5454545454545454,0.42857142857142855,0.7948717948717948,0.4799999999999999,0.6701631701631701,0.6584576171375296
28,0.78,0.0,nan,1.0,0.0,0.5,0.0
29,0.74,0.0,nan,1.0,0.0,0.5,0.0
30,0.9,0.0,nan,1.0,0.0,0.5,0.0
31,0.84,0.125,0.5,0.9761904761904762,0.2,0.5505952380952381,0.34931906550288594
32,0.62,0.2727272727272727,0.21428571428571427,0.717948717948718,0.23999999999999996,0.49533799533799533,0.4424976788687098
33,0.76,0.0,nan,1.0,0.0,0.5,0.0
34,0.76,0.0,nan,1.0,0.0,0.5,0.0
35,0.88,0.0,nan,1.0,0.0,0.5,0.0
36,0.58,0.42857142857142855,0.15,0.6046511627906976,0.2222222222222222,0.5166112956810631,0.5090542334806624
37,0.52,0.7692307692307693,0.3225806451612903,0.43243243243243246,0.45454545454545453,0.6008316008316008,0.5767498007284725
38,0.88,0.0,nan,1.0,0.0,0.5,0.0
39,0.58,0.5,0.23809523809523808,0.6,0.3225806451612903,0.55,0.5477225575051661
40,0.36,0.9333333333333333,0.3111111111111111,0.11428571428571428,0.4666666666666667,0.5238095238095238,0.3265986323710904
41,0.74,0.0,nan,1.0,0.0,0.5,0.0
42,0.8,0.0,nan,1.0,0.0,0.5,0.0
43,0.72,0.0,0.0,0.9,0.0,0.45,0.0
44,0.38,0.875,0.1891891891891892,0.2857142857142857,0.3111111111111111,0.5803571428571428,0.5
45,0.72,0.07142857142857142,0.5,0.9722222222222222,0.125,0.5218253968253969,0.2635231383473649
46,0.78,0.0,nan,1.0,0.0,0.5,0.0
47,0.66,0.0,nan,1.0,0.0,0.5,0.0
48,0.82,0.0,nan,1.0,0.0,0.5,0.0
49,0.64,0.6,0.3,0.65,0.4,0.625,0.6244997998398398
50,0.7,0.2222222222222222,0.2,0.8048780487804879,0.2105263157894737,0.513550135501355,0.42292054645983584
51,0.4,0.5,0.13333333333333333,0.38095238095238093,0.2105263157894737,0.44047619047619047,0.4364357804719847
52,0.22,1.0,0.15217391304347827,0.09302325581395349,0.2641509433962264,0.5465116279069767,0.30499714066520933
53,0.56,0.5555555555555556,0.21739130434782608,0.5609756097560976,0.3125,0.5582655826558266,0.5582590048813949
54,0.34,0.7777777777777778,0.18421052631578946,0.24390243902439024,0.2978723404255319,0.5108401084010841,0.4355478125521585
55,0.5,0.8333333333333334,0.40540540540540543,0.3125,0.5454545454545455,0.5729166666666667,0.5103103630798288
56,0.66,0.2222222222222222,0.16666666666666666,0.7560975609756098,0.1904761904761905,0.489159891598916,0.4099044769416433
57,0.6,0.5,0.25,0.625,0.3333333333333333,0.5625,0.5590169943749475
58,0.76,0.2222222222222222,0.2857142857142857,0.8780487804878049,0.25,0.5501355013550135,0.44172610429938614
59,0.5,0.5454545454545454,0.23076923076923078,0.48717948717948717,0.3243243243243243,0.5163170163170163,0.5154941956358633
60,0.86,0.0,nan,1.0,0.0,0.5,0.0
61,0.88,0.0,nan,1.0,0.0,0.5,0.0
62,0.78,0.0,nan,1.0,0.0,0.5,0.0
63,0.82,0.0,nan,1.0,0.0,0.5,0.0
64,0.62,0.125,0.07692307692307693,0.7142857142857143,0.09523809523809525,0.41964285714285715,0.2988071523335984
65,0.28,0.8571428571428571,0.14634146341463414,0.18604651162790697,0.25,0.521594684385382,0.39933499538383305
66,0.54,0.7777777777777778,0.25,0.4878048780487805,0.3783783783783784,0.6327913279132791,0.6159576235731972
67,0.82,0.1,1.0,1.0,0.18181818181818182,0.55,0.31622776601683794
68,0.74,0.2,0.2857142857142857,0.875,0.23529411764705882,0.5375,0.4183300132670378
69,0.6,0.5384615384615384,0.3333333333333333,0.6216216216216216,0.41176470588235287,0.58004158004158,0.5785493364608888
70,0.8,0.0,nan,1.0,0.0,0.5,0.0
71,0.4,0.7272727272727273,0.22857142857142856,0.3076923076923077,0.34782608695652173,0.5174825174825175,0.4730499167912661
72,0.88,0.0,nan,1.0,0.0,0.5,0.0
73,0.68,0.0,0.0,0.9714285714285714,0.0,0.4857142857142857,0.0
74,0.84,0.16666666666666666,0.25,0.9318181818181818,0.2,0.5492424242424242,0.3940850546557561
75,0.48,0.14285714285714285,0.125,0.6111111111111112,0.13333333333333333,0.376984126984127,0.29546842014263947
76,0.74,0.0,nan,1.0,0.0,0.5,0.0
77,0.82,0.0,nan,1.0,0.0,0.5,0.0
78,0.62,0.07142857142857142,0.14285714285714285,0.8333333333333334,0.09523809523809523,0.4523809523809524,0.2439750182371333
79,0.88,0.0,nan,1.0,0.0,0.5,0.0
80,0.84,0.3333333333333333,0.6,0.9512195121951219,0.42857142857142855,0.6422764227642276,0.5630925063714729
81,0.56,0.15384615384615385,0.15384615384615385,0.7027027027027027,0.15384615384615385,0.4282744282744283,0.3287979746107146
82,0.8,0.0,nan,1.0,0.0,0.5,0.0
83,0.46,0.7142857142857143,0.16666666666666666,0.4186046511627907,0.2702702702702703,0.5664451827242525,0.5468119624323668
84,0.58,0.2727272727272727,0.1875,0.6666666666666666,0.2222222222222222,0.46969696969696967,0.42640143271122083
85,0.88,0.0,nan,1.0,0.0,0.5,0.0
86,0.86,0.0,nan,1.0,0.0,0.5,0.0
87,0.78,0.0,0.0,0.9285714285714286,0.0,0.4642857142857143,0.0
88,0.78,0.0,nan,1.0,0.0,0.5,0.0
89,0.78,0.0,nan,1.0,0.0,0.5,0.0
90,0.84,0.0,nan,1.0,0.0,0.5,0.0
91,0.76,0.08333333333333333,0.5,0.9736842105263158,0.14285714285714285,0.5285087719298246,0.2848514540549038
92,0.86,0.0,nan,1.0,0.0,0.5,0.0
93,0.68,0.5,0.4375,0.75,0.4666666666666667,0.625,0.6123724356957945
94,0.78,0.0,nan,1.0,0.0,0.5,0.0
95,0.86,0.0,nan,1.0,0.0,0.5,0.0
96,0.56,0.7,0.2692307692307692,0.525,0.3888888888888889,0.6125,0.6062177826491071
97,0.74,0.1,0.2,0.9,0.13333333333333333,0.5,0.30000000000000004
98,0.74,0.14285714285714285,0.125,0.8372093023255814,0.13333333333333333,0.49003322259136217,0.345834250622541
99,0.66,0.4,0.125,0.6888888888888889,0.19047619047619047,0.5444444444444445,0.5249338582674541
100,0.78,0.0,0.0,0.8478260869565217,0.0,0.42391304347826086,0.0
101,0.82,0.0,0.0,0.9761904761904762,0.0,0.4880952380952381,0.0
102,0.4,0.5833333333333334,0.21875,0.34210526315789475,0.31818181818181823,0.4627192982456141,0.4467229605793415
103,0.8,0.0,nan,1.0,0.0,0.5,0.0
104,0.36,0.6666666666666666,0.11764705882352941,0.3181818181818182,0.2,0.49242424242424243,0.4605661864718383
105,0.78,0.1,0.3333333333333333,0.95,0.15384615384615383,0.525,0.3082207001484488
106,0.12,0.6666666666666666,0.08695652173913043,0.045454545454545456,0.15384615384615383,0.356060606060606,0.17407765595569785
107,0.76,0.1111111111111111,0.2,0.9024390243902439,0.14285714285714285,0.5067750677506775,0.31665596901057635
108,0.56,0.375,0.15,0.5952380952380952,0.21428571428571425,0.4851190476190476,0.472455591261534
