Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.74,0.0,0.0,0.925,0.0,0.4625,0.0
1,0.68,0.0,0.0,0.85,0.0,0.425,0.0
2,0.58,0.0,0.0,0.8285714285714286,0.0,0.4142857142857143,0.0
3,0.66,0.06666666666666667,0.25,0.9142857142857143,0.10526315789473685,0.49047619047619045,0.24688535993934704
4,0.66,0.0,0.0,0.8461538461538461,0.0,0.4230769230769231,0.0
5,0.8,0.42857142857142855,0.3333333333333333,0.8604651162790697,0.375,0.6445182724252492,0.6072649867393981
6,0.76,0.5,0.4166666666666667,0.825,0.45454545454545453,0.6625,0.6422616289332564
7,0.74,0.4444444444444444,0.3333333333333333,0.8048780487804879,0.380952380952381,0.6246612466124661,0.5980999726097406
8,0.74,0.15384615384615385,0.5,0.9459459459459459,0.23529411764705882,0.5498960498960499,0.3814841353583993
9,0.6,0.4,0.2222222222222222,0.65,0.2857142857142857,0.525,0.5099019513592785
10,0.74,0.6666666666666666,0.375,0.7560975609756098,0.4800000000000001,0.7113821138211383,0.7099753803128714
11,0.62,0.2222222222222222,0.14285714285714285,0.7073170731707317,0.17391304347826086,0.46476964769647694,0.3964613118776133
12,0.74,0.5,0.5384615384615384,0.8333333333333334,0.5185185185185186,0.6666666666666667,0.6454972243679028
13,0.68,0.6,0.3333333333333333,0.7,0.42857142857142855,0.6499999999999999,0.648074069840786
14,0.68,0.5,0.1875,0.7045454545454546,0.2727272727272727,0.6022727272727273,0.5935256753272998
15,0.76,0.6153846153846154,0.5333333333333333,0.8108108108108109,0.5714285714285715,0.7130977130977132,0.7063713605183176
16,0.8,0.75,0.5625,0.8157894736842105,0.6428571428571429,0.7828947368421053,0.7822033656685183
17,0.68,0.3333333333333333,0.14285714285714285,0.7272727272727273,0.2,0.5303030303030303,0.49236596391733095
18,0.7,0.38461538461538464,0.4166666666666667,0.8108108108108109,0.4,0.5977130977130978,0.558435593287455
19,0.72,0.4166666666666667,0.4166666666666667,0.8157894736842105,0.4166666666666667,0.6162280701754386,0.5830199659546441
20,0.76,0.5,0.5,0.8421052631578947,0.5,0.6710526315789473,0.6488856845230502
21,0.58,0.4166666666666667,0.2631578947368421,0.631578947368421,0.3225806451612903,0.5241228070175439,0.512989176042577
22,0.74,0.38461538461538464,0.5,0.8648648648648649,0.4347826086956522,0.6247401247401247,0.5767498007284725
23,0.78,0.25,0.1111111111111111,0.8260869565217391,0.15384615384615383,0.5380434782608696,0.4544466295731929
24,0.78,0.75,0.4,0.7857142857142857,0.5217391304347827,0.7678571428571428,0.7676494735787385
25,0.78,0.6363636363636364,0.5,0.8205128205128205,0.56,0.7284382284382285,0.7225956837295128
26,0.6,0.3333333333333333,0.17647058823529413,0.6585365853658537,0.23076923076923078,0.49593495934959353,0.4685212856658182
27,0.66,0.36363636363636365,0.2857142857142857,0.7435897435897436,0.32,0.5536130536130537,0.5199964138302017
28,0.58,0.09090909090909091,0.08333333333333333,0.717948717948718,0.08695652173913043,0.40442890442890445,0.25547615401063417
29,0.62,0.5384615384615384,0.35,0.6486486486486487,0.4242424242424242,0.5935550935550935,0.5909926812341666
30,0.68,0.6,0.17647058823529413,0.6888888888888889,0.2727272727272727,0.6444444444444444,0.6429100507328637
31,0.68,0.875,0.3181818181818182,0.6428571428571429,0.4666666666666667,0.7589285714285714,0.75
32,0.74,0.7272727272727273,0.4444444444444444,0.7435897435897436,0.5517241379310345,0.7354312354312355,0.7353859808240437
33,0.78,0.75,0.5294117647058824,0.7894736842105263,0.6206896551724139,0.7697368421052632,0.7694837640638655
34,0.68,0.4166666666666667,0.35714285714285715,0.7631578947368421,0.3846153846153846,0.5899122807017544,0.5638993315657954
35,0.7,0.8333333333333334,0.2631578947368421,0.6818181818181818,0.39999999999999997,0.7575757575757576,0.753778361444409
36,0.72,0.42857142857142855,0.23076923076923078,0.7674418604651163,0.3,0.5980066445182725,0.5735012244843509
37,0.7,0.5384615384615384,0.4375,0.7567567567567568,0.4827586206896552,0.6476091476091477,0.6383450536225745
